frame,AID,AgentCount
0,Grass,80
0,Predator,10
0,Prey,100
1,Grass,80
1,Predator,10
1,Prey,98
2,Grass,80
2,Predator,10
2,Prey,98
3,Grass,80
3,Predator,10
3,Prey,98
4,Grass,80
4,Predator,10
4,Prey,98
5,Grass,80
5,Predator,10
5,Prey,99
6,Grass,80
6,Predator,10
6,Prey,100
7,Grass,80
7,Predator,10
7,Prey,100
8,Grass,80
8,Predator,10
8,Prey,100
9,Grass,80
9,Predator,10
9,Prey,100
10,Grass,80
10,Predator,10
10,Prey,100
11,Grass,80
11,Predator,10
11,Prey,100
12,Grass,80
12,Predator,10
12,Prey,100
13,Grass,80
13,Predator,10
13,Prey,100
14,Grass,80
14,Predator,10
14,Prey,101
15,Grass,80
15,Predator,10
15,Prey,101
16,Grass,80
16,Predator,10
16,Prey,101
17,Grass,80
17,Predator,10
17,Prey,102
18,Grass,80
18,Predator,10
18,Prey,103
19,Grass,80
19,Predator,10
19,Prey,104
20,Grass,80
20,Predator,10
20,Prey,104
21,Grass,80
21,Predator,10
21,Prey,106
22,Grass,80
22,Predator,11
22,Prey,106
23,Grass,80
23,Predator,11
23,Prey,105
24,Grass,80
24,Predator,11
24,Prey,105
25,Grass,80
25,Predator,11
25,Prey,105
26,Grass,80
26,Predator,11
26,Prey,105
27,Grass,80
27,Predator,11
27,Prey,105
28,Grass,80
28,Predator,11
28,Prey,105
29,Grass,80
29,Predator,11
29,Prey,106
30,Grass,80
30,Predator,11
30,Prey,106
31,Grass,80
31,Predator,11
31,Prey,107
32,Grass,80
32,Predator,11
32,Prey,107
33,Grass,80
33,Predator,11
33,Prey,107
34,Grass,80
34,Predator,11
34,Prey,107
35,Grass,80
35,Predator,11
35,Prey,107
36,Grass,80
36,Predator,11
36,Prey,107
37,Grass,80
37,Predator,11
37,Prey,107
38,Grass,80
38,Predator,11
38,Prey,107
39,Grass,80
39,Predator,11
39,Prey,108
40,Grass,80
40,Predator,11
40,Prey,109
41,Grass,80
41,Predator,11
41,Prey,109
42,Grass,80
42,Predator,11
42,Prey,110
43,Grass,80
43,Predator,11
43,Prey,110
44,Grass,80
44,Predator,11
44,Prey,110
45,Grass,80
45,Predator,11
45,Prey,110
46,Grass,80
46,Predator,11
46,Prey,111
47,Grass,80
47,Predator,11
47,Prey,110
48,Grass,80
48,Predator,11
48,Prey,110
49,Grass,80
49,Predator,11
49,Prey,110
50,Grass,80
50,Predator,11
50,Prey,110
51,Grass,80
51,Predator,11
51,Prey,110
52,Grass,80
52,Predator,11
52,Prey,111
53,Grass,80
53,Predator,11
53,Prey,111
54,Grass,80
54,Predator,11
54,Prey,110
55,Grass,80
55,Predator,11
55,Prey,110
56,Grass,80
56,Predator,11
56,Prey,110
57,Grass,80
57,Predator,11
57,Prey,109
58,Grass,80
58,Predator,11
58,Prey,109
59,Grass,80
59,Predator,11
59,Prey,108
60,Grass,80
60,Predator,11
60,Prey,108
61,Grass,80
61,Predator,11
61,Prey,108
62,Grass,80
62,Predator,11
62,Prey,107
63,Grass,80
63,Predator,11
63,Prey,108
64,Grass,80
64,Predator,11
64,Prey,109
65,Grass,80
65,Predator,11
65,Prey,110
66,Grass,80
66,Predator,11
66,Prey,109
67,Grass,80
67,Predator,11
67,Prey,109
68,Grass,80
68,Predator,11
68,Prey,110
69,Grass,80
69,Predator,11
69,Prey,110
70,Grass,80
70,Predator,11
70,Prey,110
71,Grass,80
71,Predator,11
71,Prey,110
72,Grass,80
72,Predator,11
72,Prey,109
73,Grass,80
73,Predator,11
73,Prey,108
74,Grass,80
74,Predator,11
74,Prey,108
75,Grass,80
75,Predator,11
75,Prey,108
76,Grass,80
76,Predator,11
76,Prey,109
77,Grass,80
77,Predator,11
77,Prey,109
78,Grass,80
78,Predator,11
78,Prey,109
79,Grass,80
79,Predator,11
79,Prey,111
80,Grass,80
80,Predator,11
80,Prey,112
81,Grass,80
81,Predator,11
