frame,AID,AgentCount
0,Predator,10
0,Prey,100
1,Predator,10
1,Prey,98
2,Predator,10
2,Prey,99
3,Predator,10
3,Prey,100
4,Predator,10
4,Prey,100
5,Predator,10
5,Prey,100
6,Predator,10
6,Prey,101
7,Predator,10
7,Prey,102
8,Predator,10
8,Prey,102
9,Predator,10
9,Prey,103
10,Predator,10
10,Prey,104
11,Predator,10
11,Prey,104
12,Predator,10
12,Prey,104
13,Predator,10
13,Prey,104
14,Predator,11
14,Prey,103
15,Predator,11
15,Prey,104
16,Predator,11
16,Prey,104
17,Predator,11
17,Prey,104
18,Predator,11
18,Prey,104
19,Predator,11
19,Prey,103
20,Predator,11
20,Prey,103
21,Predator,11
21,Prey,103
22,Predator,11
22,Prey,103
23,Predator,11
23,Prey,103
24,Predator,11
24,Prey,103
25,Predator,11
25,Prey,102
26,Predator,11
26,Prey,102
27,Predator,11
27,Prey,102
28,Predator,11
28,Prey,102
29,Predator,11
29,Prey,103
30,Predator,11
30,Prey,104
31,Predator,11
31,Prey,104
32,Predator,11
32,Prey,104
33,Predator,11
33,Prey,104
34,Predator,11
34,Prey,105
35,Predator,11
35,Prey,104
36,Predator,11
36,Prey,105
37,Predator,11
37,Prey,105
38,Predator,11
38,Prey,105
39,Predator,11
39,Prey,105
40,Predator,11
40,Prey,105
41,Predator,11
41,Prey,105
42,Predator,11
42,Prey,105
43,Predator,11
43,Prey,105
44,Predator,11
44,Prey,106
45,Predator,11
45,Prey,106
46,Predator,11
46,Prey,105
47,Predator,11
47,Prey,105
48,Predator,11
48,Prey,106
49,Predator,11
49,Prey,106
50,Predator,11
50,Prey,105
51,Predator,11
51,Prey,106
52,Predator,11
52,Prey,106
53,Predator,11
53,Prey,106
54,Predator,11
54,Prey,106
55,Predator,10
55,Prey,106
56,Predator,10
56,Prey,106
57,Predator,10
57,Prey,106
58,Predator,10
58,Prey,106
59,Predator,10
59,Prey,108
60,Predator,10
60,Prey,108
61,Predator,10
61,Prey,108
62,Predator,10
62,Prey,109
63,Predator,10
63,Prey,110
64,Predator,10
64,Prey,110
65,Predator,10
65,Prey,110
66,Predator,10
66,Prey,110
67,Predator,10
67,Prey,109
68,Predator,10
68,Prey,111
69,Predator,10
69,Prey,111
70,Predator,10
70,Prey,111
71,Predator,10
71,Prey,110
72,Predator,10
72,Prey,109
73,Predator,10
73,Prey,109
74,Predator,10
74,Prey,109
75,Predator,10
75,Prey,109
76,Predator,10
76,Prey,109
77,Predator,10
77,Prey,109
78,Predator,10
78,Prey,109
79,Predator,10
79,Prey,111
80,Predator,10
80,Prey,111
81,Predator,10
81,Prey,111
82,Predator,10
82,Prey,111
83,Predator,10
83,Prey,111
84,Predator,10
84,Prey,111
85,Predator,10
85,Prey,113
86,Predator,10
86,Prey,112
