frame,AID,AgentCount
0,Predator,10
0,Prey,100
1,Predator,11
1,Prey,97
2,Predator,11
2,Prey,98
3,Predator,11
3,Prey,99
4,Predator,11
4,Prey,99
5,Predator,11
5,Prey,99
6,Predator,11
6,Prey,100
7,Predator,11
7,Prey,101
8,Predator,11
8,Prey,101
9,Predator,11
9,Prey,102
10,Predator,11
10,Prey,102
11,Predator,11
11,Prey,102
12,Predator,11
12,Prey,102
13,Predator,11
13,Prey,102
14,Predator,11
14,Prey,102
15,Predator,11
15,Prey,102
16,Predator,11
16,Prey,101
17,Predator,11
17,Prey,101
18,Predator,11
18,Prey,101
19,Predator,11
19,Prey,101
20,Predator,11
20,Prey,102
21,Predator,11
21,Prey,101
22,Predator,11
22,Prey,101
23,Predator,11
23,Prey,101
24,Predator,11
24,Prey,102
25,Predator,11
25,Prey,101
26,Predator,11
26,Prey,101
27,Predator,11
27,Prey,101
28,Predator,11
28,Prey,101
29,Predator,11
29,Prey,102
30,Predator,11
30,Prey,103
31,Predator,11
31,Prey,103
32,Predator,11
32,Prey,103
33,Predator,11
33,Prey,103
34,Predator,11
34,Prey,104
35,Predator,11
35,Prey,105
36,Predator,11
36,Prey,105
37,Predator,11
37,Prey,105
38,Predator,11
38,Prey,105
39,Predator,11
39,Prey,105
40,Predator,11
40,Prey,105
41,Predator,11
41,Prey,105
42,Predator,11
42,Prey,103
43,Predator,11
43,Prey,103
44,Predator,11
44,Prey,103
45,Predator,11
45,Prey,104
46,Predator,11
46,Prey,104
47,Predator,11
47,Prey,103
48,Predator,11
48,Prey,103
49,Predator,11
49,Prey,103
50,Predator,11
50,Prey,103
51,Predator,11
51,Prey,103
52,Predator,11
52,Prey,103
53,Predator,11
53,Prey,104
54,Predator,11
54,Prey,103
55,Predator,11
55,Prey,103
56,Predator,11
56,Prey,101
57,Predator,11
57,Prey,101
58,Predator,11
58,Prey,101
59,Predator,11
59,Prey,102
60,Predator,11
60,Prey,102
61,Predator,11
61,Prey,102
62,Predator,11
62,Prey,102
63,Predator,11
63,Prey,102
64,Predator,11
64,Prey,103
65,Predator,11
65,Prey,103
66,Predator,11
66,Prey,103
67,Predator,11
67,Prey,103
68,Predator,11
68,Prey,103
69,Predator,11
69,Prey,104
70,Predator,11
70,Prey,104
71,Predator,11
71,Prey,104
72,Predator,11
72,Prey,104
73,Predator,11
73,Prey,104
74,Predator,11
74,Prey,105
75,Predator,11
75,Prey,106
76,Predator,11
76,Prey,106
77,Predator,11
77,Prey,105
78,Predator,11
78,Prey,107
79,Predator,11
79,Prey,107
80,Predator,11
80,Prey,106
81,Predator,11
81,Prey,106
82,Predator,11
82,Prey,105
83,Predator,11
83,Prey,105
84,Predator,11
84,Prey,105
85,Predator,11
85,Prey,105
86,Predator,11
86,Prey,106
