frame,AID,AgentCount
0,Grass,80
0,Predator,10
0,Prey,100
1,Grass,80
1,Predator,11
1,Prey,99
2,Grass,80
2,Predator,11
2,Prey,99
3,Grass,80
3,Predator,11
3,Prey,99
4,Grass,80
4,Predator,11
4,Prey,99
5,Grass,80
5,Predator,11
5,Prey,100
6,Grass,80
6,Predator,11
6,Prey,100
7,Grass,80
7,Predator,11
7,Prey,100
8,Grass,80
8,Predator,11
8,Prey,99
9,Grass,80
9,Predator,11
9,Prey,99
10,Grass,80
10,Predator,11
10,Prey,99
11,Grass,80
11,Predator,11
11,Prey,98
12,Grass,80
12,Predator,11
12,Prey,98
13,Grass,80
13,Predator,11
13,Prey,98
14,Grass,80
14,Predator,11
14,Prey,99
15,Grass,80
15,Predator,11
15,Prey,98
16,Grass,80
16,Predator,11
16,Prey,98
17,Grass,80
17,Predator,11
17,Prey,98
18,Grass,80
18,Predator,11
18,Prey,99
19,Grass,80
19,Predator,11
19,Prey,99
20,Grass,80
20,Predator,11
20,Prey,99
21,Grass,80
21,Predator,11
21,Prey,100
22,Grass,80
22,Predator,11
22,Prey,100
23,Grass,80
23,Predator,11
23,Prey,100
24,Grass,80
24,Predator,11
24,Prey,100
25,Grass,80
25,Predator,11
25,Prey,100
26,Grass,80
26,Predator,11
26,Prey,100
27,Grass,80
27,Predator,11
27,Prey,100
28,Grass,80
28,Predator,11
28,Prey,100
29,Grass,80
29,Predator,11
29,Prey,100
30,Grass,80
30,Predator,11
30,Prey,101
31,Grass,80
31,Predator,11
31,Prey,102
32,Grass,80
32,Predator,11
32,Prey,102
33,Grass,80
33,Predator,11
33,Prey,102
34,Grass,80
34,Predator,11
34,Prey,102
35,Grass,80
35,Predator,11
35,Prey,102
36,Grass,80
36,Predator,11
36,Prey,102
37,Grass,80
37,Predator,11
37,Prey,102
38,Grass,80
38,Predator,11
38,Prey,101
39,Grass,80
39,Predator,11
39,Prey,102
40,Grass,80
40,Predator,11
40,Prey,102
41,Grass,80
41,Predator,11
41,Prey,102
42,Grass,80
42,Predator,11
42,Prey,102
43,Grass,80
43,Predator,11
43,Prey,102
44,Grass,80
44,Predator,11
44,Prey,102
45,Grass,80
45,Predator,11
45,Prey,102
46,Grass,80
46,Predator,11
46,Prey,102
47,Grass,80
47,Predator,11
47,Prey,103
48,Grass,80
48,Predator,11
48,Prey,103
49,Grass,80
49,Predator,11
49,Prey,103
50,Grass,80
50,Predator,11
50,Prey,103
51,Grass,80
51,Predator,11
51,Prey,103
52,Grass,80
52,Predator,11
52,Prey,103
53,Grass,80
53,Predator,11
53,Prey,103
54,Grass,80
54,Predator,11
54,Prey,103
55,Grass,80
55,Predator,11
55,Prey,103
56,Grass,80
56,Predator,11
56,Prey,103
57,Grass,80
57,Predator,10
57,Prey,103
58,Grass,80
58,Predator,10
58,Prey,103
59,Grass,80
59,Predator,10
59,Prey,104
60,Grass,80
60,Predator,10
60,Prey,105
61,Grass,80
61,Predator,10
61,Prey,106
62,Grass,80
62,Predator,10
62,Prey,108
63,Grass,80
63,Predator,10
63,Prey,108
64,Grass,80
64,Predator,10
64,Prey,108
65,Grass,80
65,Predator,10
65,Prey,108
66,Grass,80
66,Predator,10
66,Prey,108
67,Grass,80
67,Predator,10
67,Prey,108
68,Grass,80
68,Predator,10
68,Prey,108
69,Grass,80
69,Predator,10
69,Prey,109
70,Grass,80
70,Predator,10
70,Prey,110
71,Grass,80
71,Predator,10
71,Prey,111
72,Grass,80
72,Predator,10
72,Prey,112
73,Grass,80
73,Predator,10
73,Prey,112
74,Grass,80
74,Predator,10
74,Prey,112
75,Grass,80
75,Predator,10
75,Prey,113
76,Grass,80
76,Predator,10
76,Prey,113
77,Grass,80
77,Predator,10
77,Prey,112
78,Grass,80
78,Predator,10
78,Prey,111
79,Grass,80
79,Predator,10
79,Prey,113
80,Grass,80
80,Predator,10
80,Prey,113
81,Grass,80
81,Predator,10
