,Year,Deadweight All Types,Deadweight Tankers,Deadweight Bulk,Deadweight General Cargo,Deadweight Container,Deadweight Other
845,1980,672142.488,,,,,
846,1980,,337895.557,,,,
847,1980,,,181880.282,,,
848,1980,,,,112840.897,,
849,1980,,,,,10290.114,
850,1980,,,,,,29235.638
2037,1981,679704.794,,,,,
2038,1981,,338616.336,,,,
2039,1981,,,184501.243,,,
2040,1981,,,,114832.851,,
2041,1981,,,,,11060.523,
2042,1981,,,,,,30693.841
3212,1982,686028.91,,,,,
3213,1982,,334237.813,,,,
3214,1982,,,193217.208,,,
3215,1982,,,,113293.837,,
3216,1982,,,,,12108.264,
3217,1982,,,,,,33171.788
4393,1983,690093.141,,,,,
4394,1983,,323668.186,,,,
4395,1983,,,204630.713,,,
4396,1983,,,,113269.092,,
4397,1983,,,,,12809.767,
4398,1983,,,,,,35715.383
5585,1984,681538.852,,,,,
5586,1984,,304466.296,,,,
5587,1984,,,212915.21,,,
5588,1984,,,,111863.049,,
5589,1984,,,,,14088.79,
5590,1984,,,,,,38205.507
6781,1985,668140.139,,,,,
6782,1985,,284945.86,,,,
6783,1985,,,218518.136,,,
6784,1985,,,,108308.363,,
6785,1985,,,,,17266.77,
6786,1985,,,,,,39101.01
7966,1986,654327.406,,,,,
7967,1986,,258932.401,,,,
7968,1986,,,227550.78,,,
7969,1986,,,,103920.992,,
7970,1986,,,,,18732.552,
7971,1986,,,,,,45190.681
9181,1987,632237.783,,,,,
9182,1987,,238144.528,,,,
9183,1987,,,226967.377,,,
9184,1987,,,,100221.979,,
9185,1987,,,,,20180.653,
9186,1987,,,,,,46723.246
10386,1988,625045.766,,,,,
10387,1988,,234908.375,,,,
10388,1988,,,223659.13,,,
10389,1988,,,,97110.251,,
10390,1988,,,,,21489.531,
10391,1988,,,,,,47878.48
11598,1989,620734.24,,,,,
11599,1989,,233608.542,,,,
11600,1989,,,222432.047,,,
11601,1989,,,,93795.681,,
11602,1989,,,,,22295.221,
11603,1989,,,,,,48602.749
12794,1990,629976.0,,,,,
12795,1990,,235785.0,,,,
12796,1990,,,223619.0,,,
12797,1990,,,,100457.0,,
12798,1990,,,,,22346.0,
12799,1990,,,,,,47770.0
13990,1991,651282.0,,,,,
13991,1991,,244818.0,,,,
13992,1991,,,230028.0,,,
13993,1991,,,,102109.0,,
