Year,Deadweight All Types,Deadweight Tankers,Deadweight Bulk,Deadweight General Cargo,Deadweight Container,Deadweight Other
1980,672142.488,337895.557,181880.282,112840.897,10290.114,29235.638
1981,679704.794,338616.336,184501.243,114832.851,11060.523,30693.841
1982,686028.91,334237.813,193217.208,113293.837,12108.264,33171.788
1983,690093.141,323668.186,204630.713,113269.092,12809.767,35715.383
1984,681538.852,304466.296,212915.21,111863.049,14088.79,38205.507
1985,668140.139,284945.86,218518.136,108308.363,17266.77,39101.01
1986,654327.406,258932.401,227550.78,103920.992,18732.552,45190.681
1987,632237.783,238144.528,226967.377,100221.979,20180.653,46723.246
1988,625045.766,234908.375,223659.13,97110.251,21489.531,47878.48
1989,620734.24,233608.542,222432.047,93795.681,22295.221,48602.749
1990,629976.0,235785.0,223619.0,100457.0,22346.0,47770.0
1991,651282.0,244818.0,230028.0,102109.0,23611.0,50716.0
1992,674421.074,255657.238,236143.08,102931.705,27251.89,52437.161
1993,683639.046,261081.516,234696.615,104193.343,29844.257,53823.315
1994,699744.505,269289.312,236843.255,106185.603,32045.907,55380.428
1995,719216.174,270942.439,250142.436,103502.83,38923.35,55705.119
1996,731870.459,266708.185,261168.634,103052.431,43805.665,57135.544
1997,755297.943,270899.061,271702.29,103556.122,48732.522,60407.948
1998,772801.179,271633.253,280055.18,102563.26,56076.257,62473.229
1999,785331.072,280276.91,274689.582,101757.05,61154.933,67452.597
2000,793770.794,283065.653,274445.412,101519.612,63580.494,71159.623
2001,802771.487,284864.321,280323.408,99895.172,69124.018,68564.568
2002,822011.449,286001.44,294779.972,95693.187,77328.677,68208.183
2003,841734.985,308683.1,296140.235,96457.007,83281.35,57173.283
2004,863667.45,320657.846,308935.209,94330.978,91621.149,48122.278
2005,907474.288,340748.411,325665.804,91827.046,100226.403,49006.644
2006,965006.238,356109.224,349720.569,96391.92,112702.16,52248.601
2007,1042327.622,382975.034,367542.469,100934.23,128321.475,62554.414
2008,1117778.582,407880.862,391126.986,105491.688,144654.719,68624.309
2009,1192317.222,418266.449,418356.026,108880.834,161918.957,84894.956
2010,1276137.155,450052.685,456623.242,108231.551,169157.522,92072.155
2011,1418382.291,440110.81,547191.632,82413.995,183691.408,164974.443
2012,1537483.846,454528.747,624021.922,79718.037,196820.992,182394.142
2013,1634102.513,473928.388,689743.16,79444.324,206322.135,184664.503
2014,1694591.799,481846.411,730295.568,76429.643,216199.135,189821.045
2015,1753091.199,491058.343,762322.448,76011.109,228229.988,195469.315
2016,1811213.822,505954.949,779289.319,76480.381,244338.846,205150.339
2017,1868251.53,535031.289,795585.722,75521.869,245683.478,216429.171
2018,1937777.024,563188.284,822905.785,75701.721,253632.593,222348.634
2019,1989924.146,568037.37,846461.296,76424.957,266129.351,232871.17
2020,2073310.914,601672.2,879826.009,77929.656,275040.953,238842.085
2021,2138844.597,619308.597,913975.695,78698.629,282255.84,244605.823
2022,2202960.662,629890.328,947120.784,79670.344,293790.284,252488.913
2023,2272772.196,651348.458,973742.566,81814.697,305312.825,260553.652
